"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","User is not able to log into Navidrome without password provided","logged-out","2026-09-08","passed","2026-09-08","Login Tests > Login API Tests","logged-out/login.spec.ts","",""
"","620","User sees ""Error: Unauthorized"" popup when log in fails","logged-out","2026-09-08","passed","2026-09-08","Login Tests > Login UI Tests","logged-out/login.spec.ts","",""
"","958","User private playlist is visible by Admin","user-logged-in","2026-09-08","passed","2026-09-08","Private playlist visibility","user-logged-in/playlist-visibility.spec.ts","",""
"","989","User is able to log out from Navidrome","user-logged-in","2026-09-08","passed","2026-09-08","Logout UI Tests","user-logged-in/logout.spec.ts","",""
"","588","User is able to see the tile of the open tab","user-logged-in","2026-09-08","passed","2026-09-08","User is able to see Headers","user-logged-in/header.spec.ts","",""
"","2370","User clicks ""Previous"" on player and same song starts again","user-logged-in","2026-09-08","passed","2026-09-08","Music player usability","user-logged-in/player-usability.spec.ts","",""
"","692","User clicks on ""Playlists"" path and lands on proper page","user-logged-in","2026-09-08","passed","2026-09-08","User is able to see Headers","user-logged-in/header.spec.ts","",""
"","702","User private playlist is not visible by other users","user-logged-in","2026-09-08","passed","2026-09-08","Private playlist visibility","user-logged-in/playlist-visibility.spec.ts","",""
"","746","User clicks on ""Songs"" path and lands on proper page","user-logged-in","2026-09-08","passed","2026-09-08","User is able to see Headers","user-logged-in/header.spec.ts","",""
"","677","User clicks Now Playing button and popup opens","admin-logged-in","2026-09-08","passed","2026-09-08","Admin is able to see Headers","admin-logged-in/admin-header.spec.ts","",""
"","2424","User clicks ""Previous"" on player twice and previous song starts playing","user-logged-in","2026-09-08","passed","2026-09-08","Music player usability","user-logged-in/player-usability.spec.ts","",""
"","689","User clicks Refresh button and remain on homepage","user-logged-in","2026-09-08","passed","2026-09-08","User is able to see Headers","user-logged-in/header.spec.ts","",""
"","628","When menu button is set on ON position, menu is visible","user-logged-in","2026-09-08","passed","2026-09-08","User is able to see Headers","user-logged-in/header.spec.ts","",""
"","1785","User clicks ""Pause"" on player and playlist pauses","user-logged-in","2026-09-08","passed","2026-09-08","Music player usability","user-logged-in/player-usability.spec.ts","",""
